DATE,CITY,TEMPERATURE
2020-09-15,Tokyo,15.1
2020-04-25,Mumbai,2.4
2020-12-15,London,6.0
2020-07-28,Tokyo,29.0
2020-08-07,Mumbai,36.2
2020-04-08,Mumbai,-8.0
2020-01-30,New York,-0.5
2020-08-13,Sydney,11.8
2020-07-20,Mumbai,39.5
2020-12-21,London,-5.8
2020-10-01,Tokyo,5.9
2020-11-26,New York,13.7
2020-01-05,Mumbai,35.1
2020-12-06,Sydney,14.9
2020-04-18,Sydney,
2020-08-05,Mumbai,24.3
2020-07-31,Mumbai,-0.6
2020-07-24,Sydney,17.6
2020-05-29,London,-9.5
2020-06-29,Sydney,16.2
2020-04-02,Mumbai,10.5
2020-12-20,Tokyo,-5.2
2020-02-25,Sydney,28.7
2020-08-13,London,8.5
2020-05-17,New York,4.3
2020-03-26,Tokyo,8.3
2020-01-18,New York,20.0
2020-08-11,Sydney,16.5
2020-12-06,London,8.6
2020-10-02,London,20.3
2020-11-25,New York,36.6
2020-09-14,Sydney,36.2
2020-10-03,Sydney,12.1
2020-09-20,New York,8.3
2020-09-17,Tokyo,22.1
2020-11-19,Mumbai,-1.3
2020-12-17,New York,-8.3
2020-11-09,Mumbai,
2020-08-27,London,8.4
2020-11-27,Sydney,23.2
2020-01-07,New York,28.1
2020-05-11,Sydney,20.2
2020-05-29,New York,37.0
2020-01-18,Mumbai,24.2
2020-08-03,London,20.6
2020-04-01,Sydney,19.3
2020-06-08,Mumbai,30.6
2020-03-31,Sydney,4.2
2020-06-06,New York,17.3
2020-10-10,Tokyo,29.7
2020-09-15,Mumbai,34.1
2020-08-14,London,21.8
2020-08-23,Mumbai,30.2
2020-10-04,Sydney,20.0
2020-03-19,Tokyo,11.7
2020-04-12,London,
2020-06-28,Tokyo,5.9
2020-01-31,Sydney,-4.3
2020-03-07,Mumbai,4.7
2020-10-08,Tokyo,4.0
2020-04-17,London,17.3
2020-03-04,Mumbai,21.2
2020-09-24,Tokyo,27.3
2020-05-29,London,23.1
2020-12-11,Sydney,11.7
2020-04-23,Sydney,23.0
2020-10-08,Sydney,10.6
2020-04-16,New York,15.8
2020-05-11,New York,3.9
2020-05-18,New York,-4.3
2020-12-24,Mumbai,-0.8
2020-05-14,Mumbai,13.4
2020-10-23,London,13.6
2020-10-02,New York,29.6
2020-05-31,Mumbai,9.8
2020-09-16,London,34.6
2020-11-25,Mumbai,3.8
2020-04-10,New York,17.1
2020-04-12,Mumbai,
2020-06-21,Mumbai,14.1
2020-01-03,Sydney,11.4
2020-05-04,Sydney,20.8
2020-09-20,Sydney,1.4
2020-07-19,Tokyo,6.9
2020-03-04,Sydney,18.7
2020-02-11,Tokyo,21.8
2020-12-12,New York,34.9
2020-07-18,Sydney,5.7
2020-02-19,Sydney,-8.0
2020-11-19,London,-9.8
2020-01-04,London,22.1
2020-07-24,New York,8.6
2020-01-21,Sydney,10.7
2020-05-19,Tokyo,
2020-07-10,New York,5.0
2020-02-16,London,13.8
2020-07-02,Mumbai,16.4
2020-04-26,Mumbai,3.4
2020-11-12,Sydney,9.7
2020-01-17,London,4.1
