DATE,STORE,PRODUCT,SALES
2020-01-05,Store A,Laptop,1400
2020-02-12,Store B,Smartphone,750
2020-03-01,Store C,Tablet,350
2020-03-20,Store A,Smartphone,900
2020-04-15,Store C,Laptop,1300
2020-05-08,Store B,Laptop,1200
2020-06-10,Store A,Tablet,400
2020-06-25,Store C,Laptop,1500
2020-07-15,Store B,Smartphone,800
2020-08-05,Store A,Laptop,1700
2020-08-20,Store C,Smartphone,950
2020-09-10,Store A,Tablet,450
2020-10-01,Store B,Laptop,1450
2020-10-25,Store C,Tablet,300
2020-11-05,Store A,Smartphone,1000
2020-12-15,Store B,Smartphone,850
2020-12-20,Store C,Tablet,400
2021-01-03,Store A,Laptop,1500
2021-01-05,Store C,Smartphone,1000
2021-02-14,Store C,Laptop,1200
2021-02-18,Store B,Laptop,1450
2021-03-15,Store A,Laptop,1500
2021-03-20,Store C,Tablet,300
2021-04-10,Store B,Tablet,350
2021-04-25,Store A,Smartphone,900
2021-05-08,Store B,Laptop,1350
2021-05-20,Store A,Tablet,400
2021-06-10,Store B,Smartphone,800
2021-06-15,Store A,Laptop,1700
2021-06-20,Store C,Tablet,450
2021-07-08,Store A,Smartphone,950
2021-07-20,Store C,Tablet,300
2021-08-05,Store B,Laptop,1400
2021-08-15,Store C,Laptop,1250
2021-08-22,Store A,Tablet,450
2021-09-01,Store C,Smartphone,1050
2021-09-10,Store B,Smartphone,650
2021-09-20,Store B,Laptop,1400
2021-10-01,Store A,Laptop,1600
2021-10-29,Store C,Laptop,1600
2022-01-03,Store C,Tablet,350
2022-01-20,Store B,Laptop,1200
2022-02-15,Store A,Laptop,1550
2022-03-05,Store B,Smartphone,700
2022-04-10,Store C,Tablet,450
2022-05-12,Store A,Laptop,1800
2022-05-20,Store B,Smartphone,900
2022-06-15,Store C,Laptop,1700
2022-07-08,Store B,Laptop,1400
2022-08-10,Store A,Laptop,1750
2022-09-20,Store C,Smartphone,1100
2022-10-15,Store B,Laptop,1450
2022-10-20,Store C,Tablet,400
2022-11-10,Store A,Smartphone,1200
2022-12-12,Store B,Tablet,500
2022-12-20,Store C,Laptop,1600
