show_date,movie_title,quantity,price_per_ticket,total_revenue
2020-01-01,Inception,45,10.5,472.5
2020-01-01,Titanic,30,9.5,285.0
2020-01-01,Avengers: Endgame,60,12.0,720.0
2020-01-02,Inception,50,10.5,525.0
2020-01-02,Avatar,35,11.0,385.0
2020-01-02,Titanic,25,9.5,237.5
2020-01-03,Avengers: Endgame,70,12.0,840.0
2020-01-03,Inception,40,10.5,420.0
2020-01-03,Titanic,20,9.5,190.0
2020-01-04,Avatar,50,11.0,550.0
2020-01-04,Inception,55,10.5,577.5
2020-01-04,Avengers: Endgame,65,12.0,780.0
2020-01-05,Avatar,40,11.0,440.0
2020-01-05,Titanic,35,9.5,332.5
2020-01-05,Inception,45,10.5,472.5
2020-01-06,Avengers: Endgame,75,12.0,900.0
2020-01-06,Avatar,45,11.0,495.0
2020-01-06,Titanic,30,9.5,285.0
2020-02-01,Inception,40,10.5,420.0
2020-02-01,Avatar,50,11.0,550.0
2020-02-02,Avengers: Endgame,65,12.0,780.0
2020-02-02,Titanic,20,9.5,190.0
2020-02-03,Avatar,60,11.0,660.0
2020-02-03,Inception,45,10.5,472.5
2020-02-04,Avengers: Endgame,80,12.0,960.0
2020-02-04,Avatar,55,11.0,605.0
2020-02-05,Titanic,40,9.5,380.0
2020-03-01,Inception,50,10.5,525.0
2020-03-01,Avengers: Endgame,70,12.0,840.0
2020-03-02,Avatar,60,11.0,660.0
2020-03-03,Titanic,25,9.5,237.5
2020-03-03,Inception,45,10.5,472.5
2020-03-04,Avengers: Endgame,85,12.0,1020.0
2020-03-04,Avatar,50,11.0,550.0
2020-03-05,Titanic,30,9.5,285.0
