DATE,CUSTOMER_ID,ENGAGEMENT_TIME
2015-01-01,1798,59
2015-01-02,1029,6
2015-01-03,1753,52
2015-01-04,1289,62
2015-01-05,1146,84
2015-01-06,1273,18
2015-01-07,1221,46
2015-01-08,1340,97
2015-01-09,1509,63
2015-01-10,1514,23
2015-01-11,1069,98
2015-01-12,1357,10
2015-01-13,1908,6
2015-01-14,1556,77
2015-01-15,1885,62
2015-01-16,1765,43
2015-01-17,1322,17
2015-01-18,1623,60
2015-01-19,1091,18
2015-01-20,1341,69
2015-01-21,1423,61
2015-01-22,1551,26
2015-01-23,1971,15
2015-01-24,1662,62
2015-01-25,1414,54
2015-01-26,1657,82
2015-01-27,1710,30
2015-01-28,1967,71
2015-01-29,1274,29
2015-01-30,1860,75
2015-01-31,1043,6
2015-02-01,1083,85
2015-02-02,1433,56
2015-02-03,1809,51
2015-02-04,1093,87
2015-02-05,1174,54
2015-02-06,1405,11
2015-02-07,1201,44
2015-02-08,1857,60
2015-02-09,1498,31
2015-02-10,1480,60
2015-02-11,1987,15
2015-02-12,1329,49
2015-02-13,1540,57
2015-02-14,1209,66
2015-02-15,1617,8
2015-02-16,1954,70
2015-02-17,1896,16
2015-02-18,1982,53
2015-02-19,1575,33
2015-02-20,1016,88
2015-02-21,1106,79
2015-02-22,1164,35
2015-02-23,1606,30
2015-02-24,1536,52
2015-02-25,1628,90
2015-02-26,1191,54
2015-02-27,1195,5
2015-02-28,1307,65
2015-03-01,1136,27
2015-03-02,1952,85
2015-03-03,1859,6
2015-03-04,1093,89
2015-03-05,1891,18
2015-03-06,1750,69
2015-03-07,1087,57
2015-03-08,1160,33
2015-03-09,1147,82
2015-03-10,1584,73
2015-03-11,1455,74
2015-03-12,1087,32
2015-03-13,1013,95
2015-03-14,1314,
2015-03-15,1593,49
2015-03-16,1120,33
2015-03-17,1884,15
2015-03-18,1951,62
2015-03-19,1832,88
2015-03-20,1715,33
2015-03-21,1732,57
2015-03-22,1932,29
2015-03-23,1281,44
2015-03-24,1800,98
2015-03-25,1426,51
2015-03-26,1782,47
2015-03-27,1470,73
2015-03-28,1284,38
2015-03-29,1276,3
2015-03-30,1978,18
2015-03-31,1324,16
2015-04-01,1534,68
2015-04-02,1227,86
2015-04-03,1890,94
2015-04-04,1595,23
2015-04-05,1647,83
2015-04-06,1968,8
2015-04-07,1573,56
2015-04-08,1653,50
2015-04-09,1517,27
2015-04-10,1256,5
2015-04-11,1136,90
2015-04-12,1207,27
2015-04-13,1463,61
2015-04-14,1949,84
2015-04-15,1139,79
2015-04-16,1004,19
2015-04-17,1423,97
2015-04-18,1348,92
2015-04-19,1941,37
2015-04-20,1282,21
2015-04-21,1586,4
2015-04-22,1820,19
2015-04-23,1433,78
2015-04-24,1219,52
2015-04-25,1819,50
2015-04-26,1739,
2015-04-27,1873,98
2015-04-28,1786,19
2015-04-29,1373,13
2015-04-30,1290,92
2015-05-01,1563,99
2015-05-02,1670,72
2015-05-03,1437,95
2015-05-04,1826,46
2015-05-05,1939,81
2015-05-06,1823,66
2015-05-07,1508,89
2015-05-08,1786,17
2015-05-09,1941,46
2015-05-10,1855,92
2015-05-11,1449,38
2015-05-12,1326,51
2015-05-13,1490,25
2015-05-14,1053,49
2015-05-15,1816,77
2015-05-16,1094,5
2015-05-17,1059,52
2015-05-18,1336,47
2015-05-19,1666,41
2015-05-20,1636,15
2015-05-21,1163,11
2015-05-22,1570,28
2015-05-23,1945,79
2015-05-24,1106,14
2015-05-25,1201,5
2015-05-26,1300,87
2015-05-27,1781,16
2015-05-28,1889,30
2015-05-29,1838,79
2015-05-30,1550,43
2015-05-31,1679,26
2015-06-01,1648,76
2015-06-02,1013,96
2015-06-03,1903,92
2015-06-04,1720,23
2015-06-05,1534,44
2015-06-06,1504,85
2015-06-07,1847,56
2015-06-08,1985,3
2015-06-09,1776,26
2015-06-10,1739,1
2015-06-11,1774,96
2015-06-12,1209,57
2015-06-13,1455,71
2015-06-14,1468,83
2015-06-15,1473,87
2015-06-16,1962,63
2015-06-17,1572,47
2015-06-18,1400,90
2015-06-19,1056,78
2015-06-20,1882,13
2015-06-21,1749,63
2015-06-22,1663,38
2015-06-23,1280,84
2015-06-24,1004,32
2015-06-25,1612,29
2015-06-26,1305,60
2015-06-27,1343,84
2015-06-28,1542,41
2015-06-29,1566,90
2015-06-30,1153,30
2015-07-01,1788,29
2015-07-02,1353,53
2015-07-03,1357,43
2015-07-04,1697,11
2015-07-05,1407,85
2015-07-06,1411,18
2015-07-07,1029,1
2015-07-08,1929,40
2015-07-09,1371,39
2015-07-10,1821,99
2015-07-11,1631,66
2015-07-12,1947,49
2015-07-13,1854,87
2015-07-14,1502,46
2015-07-15,1007,50
2015-07-16,1617,23
2015-07-17,1137,93
2015-07-18,1694,66
2015-07-19,1896,86
2015-07-20,1851,67
2015-07-21,1376,33
2015-07-22,1932,51
2015-07-23,1721,71
2015-07-24,1148,36
2015-07-25,1885,24
2015-07-26,1259,83
2015-07-27,1126,90
2015-07-28,1810,80
2015-07-29,1577,28
2015-07-30,1532,86
2015-07-31,1804,2
2015-08-01,1324,10
2015-08-02,1976,82
2015-08-03,1112,12
2015-08-04,1943,65
2015-08-05,1650,68
2015-08-06,1237,62
2015-08-07,1360,55
2015-08-08,1990,37
2015-08-09,1859,85
2015-08-10,1555,20
2015-08-11,1063,70
2015-08-12,1927,85
2015-08-13,1916,63
2015-08-14,1454,69
2015-08-15,1265,42
2015-08-16,1444,81
2015-08-17,1603,17
2015-08-18,1623,58
2015-08-19,1419,6
2015-08-20,1339,97
2015-08-21,1844,23
2015-08-22,1274,4
2015-08-23,1369,9
2015-08-24,1842,63
2015-08-25,1226,93
2015-08-26,1225,42
2015-08-27,1939,75
2015-08-28,1643,93
2015-08-29,1908,96
2015-08-30,1228,12
2015-08-31,1826,35
2015-09-01,1897,92
2015-09-02,1369,50
2015-09-03,1128,72
2015-09-04,1807,40
2015-09-05,1024,59
2015-09-06,1698,6
2015-09-07,1292,74
2015-09-08,1355,89
2015-09-09,1837,13
2015-09-10,1134,98
2015-09-11,1003,60
2015-09-12,1226,79
2015-09-13,1889,16
2015-09-14,1680,5
2015-09-15,1444,23
2015-09-16,1417,53
2015-09-17,1284,67
2015-09-18,1836,72
2015-09-19,1026,73
2015-09-20,1736,6
2015-09-21,1248,40
2015-09-22,1365,80
2015-09-23,1947,80
2015-09-24,1201,42
2015-09-25,1437,90
2015-09-26,1197,23
2015-09-27,1929,90
2015-09-28,1647,90
2015-09-29,1637,20
2015-09-30,1606,63
2015-10-01,1072,30
2015-10-02,1246,10
2015-10-03,1852,12
2015-10-04,1135,27
2015-10-05,1707,83
2015-10-06,1213,73
2015-10-07,1475,2
2015-10-08,1620,47
2015-10-09,1323,56
2015-10-10,1102,11
2015-10-11,1852,75
2015-10-12,1327,25
2015-10-13,1595,96
2015-10-14,1223,44
2015-10-15,1256,92
2015-10-16,1645,14
2015-10-17,1347,79
2015-10-18,1107,56
2015-10-19,1926,6
2015-10-20,1969,24
2015-10-21,1979,43
2015-10-22,1519,50
2015-10-23,1149,76
2015-10-24,1997,57
2015-10-25,1476,44
2015-10-26,1392,25
2015-10-27,1683,82
2015-10-28,1558,22
2015-10-29,1000,95
2015-10-30,1360,19
2015-10-31,1691,64
2015-11-01,1550,90
2015-11-02,1089,30
2015-11-03,1074,38
2015-11-04,1499,50
2015-11-05,1738,41
2015-11-06,1635,96
2015-11-07,1343,12
2015-11-08,1096,57
2015-11-09,1851,64
2015-11-10,1282,15
2015-11-11,1718,33
2015-11-12,1032,66
2015-11-13,1115,66
2015-11-14,1454,37
2015-11-15,1865,26
2015-11-16,1428,77
2015-11-17,1827,73
2015-11-18,1825,51
2015-11-19,1690,13
2015-11-20,1173,25
2015-11-21,1745,20
2015-11-22,1132,68
2015-11-23,1441,11
2015-11-24,1093,8
2015-11-25,1347,53
2015-11-26,1401,93
2015-11-27,1419,15
2015-11-28,1706,73
2015-11-29,1404,47
2015-11-30,1941,36
2015-12-01,1185,82
2015-12-02,1975,24
2015-12-03,1375,62
2015-12-04,1676,54
2015-12-05,1873,13
2015-12-06,1702,46
2015-12-07,1516,8
2015-12-08,1497,48
2015-12-09,1498,40
2015-12-10,1205,95
2015-12-11,1414,20
2015-12-12,1365,51
2015-12-13,1855,66
2015-12-14,1738,44
2015-12-15,1419,83
2015-12-16,1585,79
2015-12-17,1218,90
2015-12-18,1951,57
2015-12-19,1538,73
2015-12-20,1374,51
2015-12-21,1022,
2015-12-22,1460,91
2015-12-23,1719,12
2015-12-24,1354,12
2015-12-25,1602,37
2015-12-26,1051,50
2015-12-27,1998,77
2015-12-28,1814,82
2015-12-29,1720,
2015-12-30,1573,75
2015-12-31,1444,49
